,path,label_,label
4817,/data/mskim/2_55_experiment/datasets/custum/현대#투싼_ix(2009)/C-220714_06_CR15_02_A0818.jpg,현대#투싼_ix(2009),368
3713,/data/mskim/2_55_experiment/datasets/custum/현대#싼타페_DM(2012)/C-220716_18_CR15_02_A000996.jpg,현대#싼타페_DM(2012),326
3141,/data/mskim/2_55_experiment/datasets/custum/현대#그랜저_HG(2013)/C-220714_08_CR13_01_A0086.jpg,현대#그랜저_HG(2013),307
3272,/data/mskim/2_55_experiment/datasets/custum/현대#그랜저_IG(2016)/C-220715_09_CR13_01_A101724.jpg,현대#그랜저_IG(2016),308
4150,/data/mskim/2_55_experiment/datasets/custum/현대#쏘나타_뉴 라이즈(2017)/C-220715_09_CR15_02_A034372.jpg,현대#쏘나타_뉴 라이즈(2017),335
4105,/data/mskim/2_55_experiment/datasets/custum/현대#쏘나타_뉴 라이즈(2017)/C-220715_10_CR14_03_A000518.jpg,현대#쏘나타_뉴 라이즈(2017),335
533,/data/mskim/2_55_experiment/datasets/custum/기아#K5_더 뉴 2세대(2018)/C-220715_10_CR14_03_A000227.jpg,기아#K5_더 뉴 2세대(2018),39
1873,/data/mskim/2_55_experiment/datasets/custum/르노삼성#SM5_플레티넘 뉴(2012)/C-220716_18_CR13_01_A000293.jpg,르노삼성#SM5_플레티넘 뉴(2012),140
1178,/data/mskim/2_55_experiment/datasets/custum/기아#쏘렌토_4세대(2020)/C-220715_18_CR13_01_A000584.jpg,기아#쏘렌토_4세대(2020),74
521,/data/mskim/2_55_experiment/datasets/custum/기아#K5_더 뉴 2세대(2018)/C-220714_07_CR15_02_A0153.jpg,기아#K5_더 뉴 2세대(2018),39
248,/data/mskim/2_55_experiment/datasets/custum/BMW#X시리즈_X6 (E71)(2008)/C-220714_08_CR15_02_A0680.jpg,BMW#X시리즈_X6 (E71)(2008),24
2280,/data/mskim/2_55_experiment/datasets/custum/벤츠#S-클래스_W222(2013)/C-220715_20_CR15_02_A000297.jpg,벤츠#S-클래스_W222(2013),174
1839,/data/mskim/2_55_experiment/datasets/custum/르노삼성#SM5_뉴(2005)/C-220714_08_CR14_03_A1140.jpg,르노삼성#SM5_뉴(2005),139
760,/data/mskim/2_55_experiment/datasets/custum/기아#레이_레이(2011)/C-220716_20_CR13_01_A000352.jpg,기아#레이_레이(2011),55
3267,/data/mskim/2_55_experiment/datasets/custum/현대#그랜저_IG(2016)/C-220714_08_CR14_03_A0274.jpg,현대#그랜저_IG(2016),308
1511,/data/mskim/2_55_experiment/datasets/custum/기아#프라이드_더 뉴(2015)/C-220715_07_CR13_01_A000959.jpg,기아#프라이드_더 뉴(2015),95
3525,/data/mskim/2_55_experiment/datasets/custum/현대#베라크루즈_베라크루즈(2006)/C-220712_18_CR14_03_A0994.jpg,현대#베라크루즈_베라크루즈(2006),317
4115,/data/mskim/2_55_experiment/datasets/custum/현대#쏘나타_뉴 라이즈(2017)/C-220715_13_CR14_03_A000309.jpg,현대#쏘나타_뉴 라이즈(2017),335
2542,/data/mskim/2_55_experiment/datasets/custum/쉐보레#이쿼녹스_이쿼녹스(2018)/C-220716_16_CR14_03_A000960.jpg,쉐보레#이쿼녹스_이쿼녹스(2018),205
630,/data/mskim/2_55_experiment/datasets/custum/기아#K8_K8(2021)/C-220713_19_CR13_01_A0794.jpg,기아#K8_K8(2021),45
1751,/data/mskim/2_55_experiment/datasets/custum/르노삼성#QM6_QM6(2016)/C-220717_15_CR15_02_A0316.jpg,르노삼성#QM6_QM6(2016),131
4881,/data/mskim/2_55_experiment/datasets/custum/현대#투싼_올 뉴(2015)/C-220714_18_CR13_01_A0238.jpg,현대#투싼_올 뉴(2015),370
376,/data/mskim/2_55_experiment/datasets/custum/기아#K3_올 뉴(2018)/C-220712_17_CR13_01_A0256.jpg,기아#K3_올 뉴(2018),34
169,/data/mskim/2_55_experiment/datasets/custum/BMW#7시리즈_G11(2015)/C-220717_14_CR15_02_A0771.jpg,BMW#7시리즈_G11(2015),14
3245,/data/mskim/2_55_experiment/datasets/custum/현대#그랜저_IG(2016)/C-220717_18_CR15_02_A1568.jpg,현대#그랜저_IG(2016),308
1741,/data/mskim/2_55_experiment/datasets/custum/르노삼성#QM6_QM6(2016)/C-220716_20_CR13_01_A000631.jpg,르노삼성#QM6_QM6(2016),131
3382,/data/mskim/2_55_experiment/datasets/custum/현대#그랜저_IG(더 뉴)(2016)/C-220714_14_CR15_02_A1199.jpg,현대#그랜저_IG(더 뉴)(2016),309
2595,/data/mskim/2_55_experiment/datasets/custum/쉐보레#트레일블레이저_트레일블레이저(2020)/C-220714_08_CR13_01_A0074.jpg,쉐보레#트레일블레이저_트레일블레이저(2020),215
1195,/data/mskim/2_55_experiment/datasets/custum/기아#쏘렌토_R 뉴(2012)/C-220716_18_CR13_01_A000364.jpg,기아#쏘렌토_R 뉴(2012),75
810,/data/mskim/2_55_experiment/datasets/custum/기아#모닝_뉴(2008)/C-220714_16_CR13_01_A1361.jpg,기아#모닝_뉴(2008),58
87,/data/mskim/2_55_experiment/datasets/custum/BMW#5시리즈 _F10(2010)/C-220712_18_CR13_01_A0574.jpg,BMW#5시리즈 _F10(2010),9
3124,/data/mskim/2_55_experiment/datasets/custum/현대#그랜저_HG(2013)/C-220714_07_CR15_02_A0279.jpg,현대#그랜저_HG(2013),307
3510,/data/mskim/2_55_experiment/datasets/custum/현대#베뉴_베뉴(2019)/C-220715_08_CR13_01_A000229.jpg,현대#베뉴_베뉴(2019),316
3241,/data/mskim/2_55_experiment/datasets/custum/현대#그랜저_IG(2016)/C-220713_08_CR14_03_A1728.jpg,현대#그랜저_IG(2016),308
1495,/data/mskim/2_55_experiment/datasets/custum/기아#카렌스_올 뉴(2013)/C-220716_18_CR13_01_A000231.jpg,기아#카렌스_올 뉴(2013),92
3615,/data/mskim/2_55_experiment/datasets/custum/현대#스타렉스_그랜드 (2007)/C-220713_13_CR13_01_A0365.jpg,현대#스타렉스_그랜드 (2007),320
707,/data/mskim/2_55_experiment/datasets/custum/기아#니로_더 뉴(2019)/C-220713_18_CR14_03_A1619.jpg,기아#니로_더 뉴(2019),52
1981,/data/mskim/2_55_experiment/datasets/custum/마을버스#Unknown/C-220715_10_CR14_03_A000459.jpg,마을버스#Unknown,146
338,/data/mskim/2_55_experiment/datasets/custum/기아#K3_K3(2012)/C-220714_19_CR13_01_A0145.jpg,기아#K3_K3(2012),31
694,/data/mskim/2_55_experiment/datasets/custum/기아#니로_더 뉴(2019)/C-220711_15_CR13_01_A0151.jpg,기아#니로_더 뉴(2019),52
1097,/data/mskim/2_55_experiment/datasets/custum/기아#스포티지_R(2010)/C-220714_17_CR15_02_A0317.jpg,기아#스포티지_R(2010),71
3338,/data/mskim/2_55_experiment/datasets/custum/현대#그랜저_IG(더 뉴)(2016)/C-220715_10_CR15_02_A001148.jpg,현대#그랜저_IG(더 뉴)(2016),309
1941,/data/mskim/2_55_experiment/datasets/custum/르노삼성#클리오_클리오(2018)/C-220715_09_CR14_03_A001799.jpg,르노삼성#클리오_클리오(2018),145
2946,/data/mskim/2_55_experiment/datasets/custum/포르쉐#카이엔_뉴(2010)/C-220714_18_CR15_02_A1715.jpg,포르쉐#카이엔_뉴(2010),281
